trade_id,bot_id,algo_id,ticker,entry_price,exit_price,entry_time,exit_time,entry_trigger_price,exit_trigger_price,entry_trigger_time,exit_trigger_time,trade_size,trade_direction,trade_pnl,trade_status
98,3,,COIN,275.88,275.55,2025-02-11 21:38:00.954370,2025-02-11 21:39:26.267669,,275.55,,2025-02-11 21:39:26.267669,10000.00,LONG,-0.33,closed
99,2,,COIN,275.57,276.16,2025-02-11 21:38:03.458321,2025-02-11 21:38:42.073116,,276.16,,2025-02-11 21:38:42.073116,10000.00,SHORT,-0.59,closed
100,2,,COIN,275.57,276.06,2025-02-11 21:38:03.458321,2025-02-11 21:38:37.586205,,276.06,,2025-02-11 21:38:37.586205,10000.00,SHORT,-0.49,closed
101,2,,COIN,275.91,275.71,2025-02-11 21:38:40.378304,2025-02-11 21:41:04.099655,,275.71,,2025-02-11 21:41:04.099655,10000.00,SHORT,0.20,closed
102,2,,COIN,275.84,275.71,2025-02-11 21:38:54.004476,2025-02-11 21:40:59.841337,,275.71,,2025-02-11 21:40:59.841337,10000.00,SHORT,0.13,closed
103,3,,COIN,275.88,275.14,2025-02-11 21:39:31.276976,2025-02-11 21:40:21.101651,,275.14,,2025-02-11 21:40:21.101651,10000.00,LONG,-0.74,closed
104,3,,COIN,275.64,275.22,2025-02-11 21:40:56.357926,2025-02-11 21:41:31.839622,,275.22,,2025-02-11 21:41:31.839622,10000.00,LONG,-0.42,closed
105,2,,COIN,275.37,275.92,2025-02-11 21:41:01.091229,2025-02-11 21:41:19.120353,,275.92,,2025-02-11 21:41:19.120353,10000.00,SHORT,-0.55,closed
106,2,,COIN,275.42,275.62,2025-02-11 21:41:08.602878,2025-02-11 21:42:06.145637,,275.62,,2025-02-11 21:42:06.145637,10000.00,SHORT,-0.20,closed
107,3,,TSLA,342.42,343.94,2025-02-11 21:41:24.575616,2025-02-11 21:48:41.814501,,343.94,,2025-02-11 21:48:41.814501,10000.00,LONG,15200.00,closed
108,2,,COIN,275.30,275.62,2025-02-11 21:41:35.094768,2025-02-11 21:42:05.673731,,275.62,,2025-02-11 21:42:05.673731,10000.00,SHORT,-0.32,closed
109,3,,COIN,275.64,275.90,2025-02-11 21:42:07.896859,2025-02-11 21:47:32.197699,,275.90,,2025-02-11 21:47:32.197699,10000.00,LONG,0.26,closed
110,2,,COIN,275.56,276.20,2025-02-11 21:43:25.559484,2025-02-11 21:45:35.503567,,276.20,,2025-02-11 21:45:35.503567,10000.00,SHORT,-0.64,closed
111,2,,COIN,275.60,276.20,2025-02-11 21:43:52.670084,2025-02-11 21:45:35.503567,,276.20,,2025-02-11 21:45:35.503567,10000.00,SHORT,-0.60,closed
112,4,,TSLA,343.11,343.88,2025-02-11 21:44:17.874159,2025-02-11 21:44:46.170721,,343.88,,2025-02-11 21:44:46.170721,10000.00,SHORT,-0.77,closed
113,2,,COIN,275.76,276.36,2025-02-11 21:45:49.277677,2025-02-11 21:47:05.416613,,276.36,,2025-02-11 21:47:05.416613,10000.00,SHORT,-0.60,closed
114,2,,COIN,275.70,276.30,2025-02-11 21:45:49.526554,2025-02-11 21:46:33.853137,,276.30,,2025-02-11 21:46:33.853137,10000.00,SHORT,-0.60,closed
115,4,,TSLA,344.24,340.29,2025-02-11 21:46:29.341713,2025-02-11 21:57:07.088409,,340.29,,2025-02-11 21:57:07.088409,10000.00,SHORT,3.95,closed
116,2,,COIN,276.05,276.08,2025-02-11 21:46:47.121705,2025-02-11 21:49:37.156375,,276.08,,2025-02-11 21:49:37.156375,10000.00,SHORT,-0.03,closed
117,2,,COIN,276.02,276.10,2025-02-11 21:47:29.191809,2025-02-11 21:49:40.912595,,276.10,,2025-02-11 21:49:40.912595,10000.00,SHORT,-0.08,closed
118,3,,COIN,275.82,275.54,2025-02-11 21:48:43.821596,2025-02-11 21:50:38.506425,,275.54,,2025-02-11 21:50:38.506425,10000.00,LONG,-0.28,closed
119,3,,TSLA,344.11,343.44,2025-02-11 21:49:29.147722,2025-02-11 21:50:45.265502,,343.44,,2025-02-11 21:50:45.265502,10000.00,LONG,-6700.00,closed
120,2,,COIN,275.54,276.12,2025-02-11 21:50:38.506425,2025-02-11 21:50:51.781233,,276.12,,2025-02-11 21:50:51.781233,10000.00,SHORT,-0.58,closed
121,2,,COIN,275.54,276.12,2025-02-11 21:50:38.506425,2025-02-11 21:50:51.781233,,276.12,,2025-02-11 21:50:51.781233,10000.00,SHORT,-0.58,closed
122,3,,COIN,276.00,276.10,2025-02-11 21:50:43.034134,2025-02-11 21:56:51.310164,,276.10,,2025-02-11 21:56:51.310164,10000.00,LONG,0.10,closed
123,2,,COIN,275.95,276.51,2025-02-11 21:50:58.549429,2025-02-11 21:51:53.637882,,276.51,,2025-02-11 21:51:53.637882,10000.00,SHORT,-0.56,closed
124,2,,COIN,275.95,276.51,2025-02-11 21:50:58.549429,2025-02-11 21:51:53.637882,,276.51,,2025-02-11 21:51:53.637882,10000.00,SHORT,-0.56,closed
125,2,,COIN,276.19,276.64,2025-02-11 21:52:12.424792,2025-02-11 21:54:41.677669,,276.64,,2025-02-11 21:54:41.677669,10000.00,SHORT,-0.45,closed
126,2,,COIN,276.19,276.64,2025-02-11 21:52:12.424792,2025-02-11 21:54:41.677669,,276.64,,2025-02-11 21:54:41.677669,10000.00,SHORT,-0.45,closed
127,3,,TSLA,342.51,341.78,2025-02-11 21:53:18.286843,2025-02-11 21:53:46.585910,,341.78,,2025-02-11 21:53:46.585910,10000.00,LONG,-7300.00,closed
128,2,,COIN,276.33,274.67,2025-02-11 21:55:14.734133,2025-02-11 22:00:20.497512,,274.67,,2025-02-11 22:00:20.497512,10000.00,SHORT,1.66,closed
129,2,,COIN,276.33,273.42,2025-02-11 21:55:14.734133,2025-02-11 22:06:39.550618,,273.42,,2025-02-11 22:06:39.550618,10000.00,SHORT,2.91,closed
130,3,,TSLA,340.29,339.73,2025-02-11 21:57:07.088409,2025-02-11 21:58:55.561196,,339.73,,2025-02-11 21:58:55.561196,10000.00,LONG,-5600.00,closed
131,3,,COIN,275.91,275.50,2025-02-11 21:57:54.921205,2025-02-11 21:59:12.838105,,275.50,,2025-02-11 21:59:12.838105,10000.00,LONG,-0.41,closed
132,4,,TSLA,340.15,339.88,2025-02-11 21:58:21.005644,2025-02-11 22:00:28.698013,,339.88,,2025-02-11 22:00:28.698013,10000.00,SHORT,0.27,closed
133,3,,TSLA,339.70,339.88,2025-02-11 22:00:01.392334,2025-02-11 22:02:34.268378,,339.88,,2025-02-11 22:02:34.268378,10000.00,LONG,1800.00,closed
134,2,,COIN,274.41,273.42,2025-02-11 22:00:21.754766,2025-02-11 22:06:39.550618,,273.42,,2025-02-11 22:06:39.550618,10000.00,SHORT,0.99,closed
135,3,,COIN,274.39,273.84,2025-02-11 22:01:35.923202,2025-02-11 22:01:40.929912,,273.84,,2025-02-11 22:01:40.929912,10000.00,LONG,-0.55,closed
136,3,,COIN,274.20,273.63,2025-02-11 22:02:02.216949,2025-02-11 22:04:29.834848,,273.63,,2025-02-11 22:04:29.834848,10000.00,LONG,-0.57,closed
137,4,,TSLA,340.21,338.95,2025-02-11 22:02:10.980594,2025-02-11 22:06:34.293947,,338.95,,2025-02-11 22:06:34.293947,10000.00,SHORT,1.26,closed
138,3,,TSLA,340.15,339.33,2025-02-11 22:02:41.532643,2025-02-11 22:04:09.549245,,339.33,,2025-02-11 22:04:09.549245,10000.00,LONG,-8200.00,closed
139,3,,TSLA,338.88,338.59,2025-02-11 22:05:20.420156,2025-02-11 22:08:05.694836,,338.59,,2025-02-11 22:08:05.694836,10000.00,LONG,-2900.00,closed
140,3,,COIN,273.47,272.92,2025-02-11 22:06:48.819668,2025-02-11 22:07:00.587010,,272.92,,2025-02-11 22:07:00.587010,10000.00,LONG,-0.55,closed
141,2,,COIN,273.03,273.46,2025-02-11 22:06:50.068999,2025-02-11 22:09:13.558114,,273.46,,2025-02-11 22:09:13.558114,10000.00,SHORT,-0.43,closed
142,2,,COIN,273.28,273.44,2025-02-11 22:06:50.568866,2025-02-11 22:09:11.302314,,273.44,,2025-02-11 22:09:11.302314,10000.00,SHORT,-0.16,closed
143,3,,COIN,273.06,273.18,2025-02-11 22:07:17.866647,2025-02-11 22:11:38.612150,,273.18,,2025-02-11 22:11:38.612150,10000.00,LONG,0.12,closed
144,4,,TSLA,338.93,336.48,2025-02-11 22:07:44.411540,2025-02-11 22:19:38.015426,,336.48,,2025-02-11 22:19:38.015426,10000.00,SHORT,2.45,closed
145,3,,TSLA,338.92,338.24,2025-02-11 22:08:43.007552,2025-02-11 22:09:51.793343,,338.24,,2025-02-11 22:09:51.793343,10000.00,LONG,-6800.00,closed
146,3,,TSLA,338.88,338.05,2025-02-11 22:10:13.070695,2025-02-11 22:11:37.110408,,338.05,,2025-02-11 22:11:37.110408,10000.00,LONG,-8300.00,closed
147,2,,COIN,273.40,273.00,2025-02-11 22:10:15.229572,2025-02-11 22:14:59.819439,,273.00,,2025-02-11 22:14:59.819439,10000.00,SHORT,0.40,closed
148,2,,COIN,273.40,273.00,2025-02-11 22:10:15.229572,2025-02-11 22:14:59.819439,,273.00,,2025-02-11 22:14:59.819439,10000.00,SHORT,0.40,closed
149,3,,COIN,273.29,272.78,2025-02-11 22:12:41.715546,2025-02-11 22:13:13.763993,,272.78,,2025-02-11 22:13:13.763993,10000.00,LONG,-0.51,closed
150,3,,TSLA,337.95,337.55,2025-02-11 22:12:49.225060,2025-02-11 22:14:18.249707,,337.55,,2025-02-11 22:14:18.249707,10000.00,LONG,-4000.00,closed
151,3,,TSLA,337.84,337.26,2025-02-11 22:14:39.533503,2025-02-11 22:16:11.679992,,337.26,,2025-02-11 22:16:11.679992,10000.00,LONG,-5800.00,closed
152,3,,COIN,272.93,272.76,2025-02-11 22:14:47.299447,2025-02-11 22:16:41.227265,,272.76,,2025-02-11 22:16:41.227265,10000.00,LONG,-0.17,closed
153,2,,COIN,272.99,273.09,2025-02-11 22:16:28.956393,2025-02-11 22:18:23.643982,,273.09,,2025-02-11 22:18:23.643982,10000.00,SHORT,-0.10,closed
